campaign,channel,region,team,month,spend
Spring Product Launch,Social Media Ads,North America,Digital Marketing,Jan,4600
Spring Product Launch,Content Marketing,North America,Content Team,Jan,2900
Spring Product Launch,Email Marketing,North America,Digital Marketing,Jan,1550
Spring Product Launch,Social Media Ads,Europe,Digital Marketing,Feb,5300
Spring Product Launch,Search Engine Marketing,Europe,Digital Marketing,Feb,3900
Q2 Brand Awareness,Social Media Ads,Asia-Pacific,Digital Marketing,Mar,6200
Q2 Brand Awareness,Content Marketing,Asia-Pacific,Content Team,Mar,3400
Q2 Brand Awareness,Email Marketing,Asia-Pacific,Digital Marketing,Mar,1850
Q2 Brand Awareness,Social Media Ads,North America,Digital Marketing,Apr,5900
Q2 Brand Awareness,Search Engine Marketing,North America,Digital Marketing,Apr,4300
Summer Sale Campaign,Social Media Ads,Europe,Digital Marketing,May,7600
Summer Sale Campaign,Content Marketing,Europe,Content Team,May,4100
Summer Sale Campaign,Email Marketing,Europe,Digital Marketing,May,2250
Summer Sale Campaign,Social Media Ads,Asia-Pacific,Digital Marketing,Jun,8100
Summer Sale Campaign,Search Engine Marketing,Asia-Pacific,Digital Marketing,Jun,4600
Holiday Promotion,Social Media Ads,North America,Digital Marketing,Jul,9600
Holiday Promotion,Content Marketing,North America,Content Team,Jul,5300
Holiday Promotion,Email Marketing,North America,Digital Marketing,Jul,2850
Holiday Promotion,Social Media Ads,Europe,Digital Marketing,Aug,10600
Holiday Promotion,Search Engine Marketing,Europe,Digital Marketing,Aug,6100
Spring Product Launch,Content Marketing,North America,Content Team,Feb,3100
Spring Product Launch,Email Marketing,North America,Digital Marketing,Feb,1650
Spring Product Launch,Social Media Ads,Asia-Pacific,Digital Marketing,Jan,4900
Spring Product Launch,Content Marketing,Asia-Pacific,Content Team,Jan,3200
Q2 Brand Awareness,Search Engine Marketing,North America,Digital Marketing,Mar,4200
Q2 Brand Awareness,Email Marketing,North America,Digital Marketing,Mar,1950
Q2 Brand Awareness,Social Media Ads,Europe,Digital Marketing,Apr,6400
Q2 Brand Awareness,Content Marketing,Europe,Content Team,Apr,3600
Summer Sale Campaign,Search Engine Marketing,North America,Digital Marketing,May,4900
Summer Sale Campaign,Email Marketing,North America,Digital Marketing,May,2550
Summer Sale Campaign,Social Media Ads,Europe,Digital Marketing,Jun,8300
Summer Sale Campaign,Content Marketing,Europe,Content Team,Jun,4400
Holiday Promotion,Search Engine Marketing,Asia-Pacific,Digital Marketing,Jul,6600
Holiday Promotion,Email Marketing,Asia-Pacific,Digital Marketing,Jul,3250
Holiday Promotion,Social Media Ads,North America,Digital Marketing,Aug,10100
Holiday Promotion,Content Marketing,North America,Content Team,Aug,5600
